weight_ratio,target_threads,contention_threads,target_runtime,contention_runtime
0.5,4,5,108198.797,131391.673
0.5,4,4,119796.102,119814.068
0.5,4,6,105371.848,134209.264
0.5,4,7,108008.483,131575.703
0.5,4,8,118996.983,120594.026
0.5,4,9,114142.014,125452.708
0.5,4,10,109783.901,129825.699
0.5,4,11,102922.569,136697.127
0.5,4,12,104129.108,135488.352
0.5,4,13,114138.395,125485.549
0.5,4,14,113496.393,126121.430
0.5,4,15,101138.280,138476.484
0.5,4,16,96258.526,143355.949
0.5,5,4,130211.769,109416.915
0.5,5,5,119537.405,120085.807
0.5,5,6,115938.309,123684.755
0.5,5,7,110814.051,128831.085
0.5,5,8,107743.573,131878.643
0.5,5,9,121322.354,118296.124
0.5,5,10,112554.379,127065.703
0.5,5,11,122760.090,116860.848
0.5,5,12,120599.879,119021.762
0.5,5,13,97567.677,142050.709
0.5,5,14,118850.716,120768.162
0.5,5,15,103730.088,135886.980
0.5,5,16,98693.967,140916.061
0.5,6,4,131426.065,108198.163
0.5,6,5,117825.914,121795.891
0.5,6,6,113384.578,126236.711
0.5,6,7,128243.756,111378.122
0.5,6,8,97864.139,141756.756
0.5,6,9,123584.833,116033.345
0.5,6,10,117251.445,122369.279
0.5,6,11,120070.510,119551.070
0.5,6,12,113525.896,126098.709
0.5,6,13,119123.668,120489.163
0.5,6,14,120401.022,119209.801
0.5,6,15,108746.225,130863.416
0.5,6,16,122990.084,116620.831
0.5,7,4,129983.306,109638.594
0.5,7,5,119745.574,119881.316
0.5,7,6,111831.544,127815.096
0.5,7,7,120005.899,119617.199
0.5,7,8,121865.071,117756.967
0.5,7,9,111353.595,128266.064
0.5,7,10,118340.590,121269.193
0.5,7,11,124385.468,115233.232
0.5,7,12,112892.837,126730.385
0.5,7,13,119399.668,120209.060
0.5,7,14,117708.509,121894.844
0.5,7,15,100673.524,138944.338
0.5,7,16,111376.904,128235.881
0.5,8,4,119940.549,119689.268
0.5,8,5,120476.108,119141.718
0.5,8,6,119329.170,120291.803
0.5,8,7,127623.693,111997.746
0.5,8,8,119738.284,119881.377
0.5,8,9,118511.103,121101.036
0.5,8,10,116677.510,122923.685
0.5,8,11,119188.201,120422.117
0.5,8,12,118550.680,121068.575
0.5,8,13,119642.585,119969.614
0.5,8,14,122096.859,117513.792
0.5,8,15,114143.006,125469.946
0.5,8,16,119797.392,119817.605
