time,system,cpu,mem_used,disk_r_ops_rate,disk_w_ops_rate,disk_r_bytes_rate,disk_w_bytes_rate,net_sent_pps,net_recv_pps,net_sent_bps,net_recv_bps
0,systemwide,2.3,1529724928,0.0,0.6666666666666666,0.0,9557.333333333334,7.0,8.666666666666666,2888.3333333333335,2504.0
0,video_trancoder,0.18373333333333333,30461952,0.0,0.0,0.0,0.0,7.0,8.666666666666666,2888.3333333333335,2504.0
3,systemwide,54.699999999999996,1651642368,0.0,0.3333333333333333,0.0,4096.0,16.333333333333332,40.333333333333336,33239.333333333336,91575.0
3,video_trancoder,55.592666666666666,171323392,0.0,0.0,0.0,0.0,16.333333333333332,29.0,33239.333333333336,90827.0
6,systemwide,238.7,1545719808,0.0,0.6666666666666666,0.0,9557.333333333334,4.666666666666667,6.0,53665.666666666664,1328.6666666666667
6,video_trancoder,240.17213333333333,30814208,0.0,0.0,0.0,0.0,4.666666666666667,6.0,53665.666666666664,1328.6666666666667
9,systemwide,352.9,1848950784,0.0,11.333333333333334,0.0,47786.666666666664,72.66666666666667,159.33333333333334,4796.0,853836.0
9,video_trancoder,353.824,375955456,0.0,0.0,0.0,0.0,72.66666666666667,110.0,4796.0,850580.0
12,systemwide,527.0,1849180160,0.0,0.6666666666666666,0.0,5461.333333333333,0.0,0.0,0.0,0.0
12,video_trancoder,528.9760666666667,376512512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,systemwide,533.3,1849663488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,video_trancoder,536.5401,376127488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,systemwide,316.6,1887604736,0.0,4.333333333333333,0.0,20480.0,47.0,113.0,153565.0,821441.6666666666
18,video_trancoder,317.78270000000003,350564352,0.0,0.0,0.0,0.0,47.0,78.0,153565.0,819131.6666666666
21,systemwide,558.5,1894424576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,video_trancoder,560.0530666666667,376627200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,systemwide,622.9,1878396928,0.0,0.6666666666666666,0.0,5461.333333333333,0.0,0.0,0.0,0.0
24,video_trancoder,624.7841333333333,376860672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,systemwide,611.4,1862782976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,video_trancoder,612.2673666666667,376442880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,systemwide,424.6,1565552640,0.0,0.6666666666666666,0.0,6826.666666666667,6.666666666666667,5.666666666666667,254214.66666666666,564.6666666666666
30,video_trancoder,424.95340000000004,32083968,0.0,0.0,0.0,0.0,5.333333333333333,5.666666666666667,254126.66666666666,564.6666666666666
33,systemwide,0.6,1555853312,0.0,1.0,0.0,8192.0,0.0,0.0,0.0,0.0
33,video_trancoder,0.0,31682560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,systemwide,1.9,1550008320,0.0,0.6666666666666666,0.0,10922.666666666666,0.3333333333333333,0.3333333333333333,14.0,14.0
36,video_trancoder,0.0,31182848,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,14.0,14.0
39,systemwide,4.2,1554919424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
