distribution,cpu_freq_baseline,cpu_magnitude_baseline,cpu_freq_collocated,cpu_magnitude_collocated,work_freq_baseline,work_magnitude_baseline,work_freq_collocated,work_magnitude_collocated
uniform,5.46,6.05,0,0,2.50,30.05,0,0
uniform,6.85,8.04,1.41,2.47,6.5,31.07,0.67,4.00
uniform,12.29,9.91,7.25,3.73,10.5,34.33,4.17,13.82
uniform,15.50,10.37,13.81,6.36,12.83,43.91,10.83,32.00
uniform,17.47,12.11,21.32,9.09,15.04,45.56,17.07,32.41
uniform,16.03,11.12,22.55,11.37,9.84,43.66,16.83,43.35
uniform,22.66,12.48,30.78,14.57,22.34,53.64,32.16,64.14
uniform,21.05,12.64,35.38,20.89,20.06,50.05,35.22,76.83
normal,4.88,7.14,0.99,3.26,3.22,27.68,0.89,12.67
normal,9.38,8.59,4.09,5.43,4.56,31.01,2.44,22.16
normal,15.32,10.74,14.94,9.36,13.84,35.38,10.83,32.03
normal,22.94,12.56,31.30,17.37,18.67,50.96,28.34,55.8
