time,system,cpu,mem_used,disk_r_ops_rate,disk_w_ops_rate,disk_r_bytes_rate,disk_w_bytes_rate,net_sent_pps,net_recv_pps,net_sent_bps,net_recv_bps
0,systemwide,22.0,1936834560,0.0,0.0,0.0,0.0,111.33333333333333,181.66666666666666,150906.33333333334,1101748.0
0,rdr_proxy,21.0544,511774720,0.0,0.0,0.0,0.0,111.33333333333333,181.66666666666666,150906.33333333334,1101748.0
3,systemwide,184.4,2090336256,0.0,2.3333333333333335,0.0,68266.66666666667,206.33333333333334,290.0,1497330.3333333333,372768.0
3,rdr_proxy,184.38276666666664,685957120,0.0,2.0,0.0,9557.333333333334,206.33333333333334,290.0,1497330.3333333333,372768.0
6,systemwide,52.4,2125025280,0.0,11.666666666666666,0.0,258048.0,89.0,77.0,52788.666666666664,22455.333333333332
6,rdr_proxy,53.923399999999994,708411392,0.0,12.0,0.0,200704.0,89.0,77.0,52788.666666666664,22455.333333333332
9,systemwide,17.7,2131808256,0.0,1.0,0.0,43690.666666666664,8.0,11.333333333333334,3156.3333333333335,4188.0
9,rdr_proxy,18.484233333333332,709832704,0.0,0.3333333333333333,0.0,9557.333333333334,8.0,11.333333333333334,3156.3333333333335,4188.0
12,systemwide,14.399999999999999,2077024256,0.0,31.333333333333332,0.0,162474.66666666666,3.6666666666666665,2.3333333333333335,1575.3333333333333,158.0
12,rdr_proxy,12.0022,620335104,0.0,3.0,0.0,16384.0,3.6666666666666665,2.3333333333333335,1575.3333333333333,158.0
15,systemwide,0.8999999999999999,2053591040,0.0,0.6666666666666666,0.0,43690.666666666664,0.6666666666666666,0.6666666666666666,44.0,44.0
15,rdr_proxy,0.7650333333333333,618176512,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,44.0,44.0
18,systemwide,2.0,2046726144,0.0,0.6666666666666666,0.0,4096.0,0.3333333333333333,0.3333333333333333,14.0,14.0
18,rdr_proxy,0.7382666666666666,617926656,0.0,0.6666666666666666,0.0,4096.0,0.3333333333333333,0.3333333333333333,14.0,14.0
21,systemwide,8.0,2053922816,0.0,11.666666666666666,0.0,62805.333333333336,39.666666666666664,44.333333333333336,3372.0,65686.66666666667
21,rdr_proxy,7.008366666666666,631730176,0.0,0.0,0.0,0.0,39.666666666666664,44.333333333333336,3372.0,65686.66666666667
24,systemwide,157.6,2235801600,0.0,1.6666666666666667,0.0,57344.0,189.33333333333334,253.66666666666666,1442501.3333333333,1179747.6666666667
24,rdr_proxy,160.1012,790548480,0.0,1.0,0.0,4096.0,189.33333333333334,253.66666666666666,1442501.3333333333,1179747.6666666667
27,systemwide,71.39999999999999,2278936576,0.0,1.0,0.0,60074.666666666664,156.33333333333334,175.66666666666666,264824.6666666667,256081.66666666666
27,rdr_proxy,70.3042,833929216,0.0,2.0,0.0,55978.666666666664,156.33333333333334,175.66666666666666,264824.6666666667,256081.66666666666
30,systemwide,18.6,2278776832,0.0,1.0,0.0,116053.33333333333,6.666666666666667,6.666666666666667,2843.6666666666665,924.6666666666666
30,rdr_proxy,15.693866666666667,837750784,0.0,0.0,0.0,0.0,6.666666666666667,6.666666666666667,2843.6666666666665,924.6666666666666
33,systemwide,21.0,2177929216,0.0,12.666666666666666,0.0,1549653.3333333333,1.0,0.6666666666666666,883.3333333333334,52.0
33,rdr_proxy,21.2698,713539584,0.0,12.666666666666666,0.0,1514154.6666666667,1.0,0.6666666666666666,883.3333333333334,52.0
36,systemwide,1.2999999999999998,2160033792,0.0,0.6666666666666666,0.0,38229.333333333336,0.3333333333333333,0.0,22.0,0.0
36,rdr_proxy,0.5711666666666667,713568256,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,22.0,0.0
39,systemwide,2.4,2140946432,0.0,16.0,0.0,1986560.0,2.3333333333333335,3.0,146.0,199.0
39,rdr_proxy,0.7600333333333333,713592832,0.0,18.0,0.0,1986560.0,2.3333333333333335,3.0,146.0,199.0
42,systemwide,0.6,2132869120,0.0,2.3333333333333335,0.0,274432.0,0.3333333333333333,0.0,22.0,0.0
42,rdr_proxy,0.9055666666666666,713539584,0.0,2.0,0.0,251221.33333333334,0.3333333333333333,0.0,22.0,0.0
45,systemwide,1.5,2128261120,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,22.0
45,rdr_proxy,0.7082,713408512,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,22.0
48,systemwide,1.7999999999999998,2126929920,0.0,17.333333333333332,0.0,96938.66666666667,1.6666666666666667,1.6666666666666667,110.0,110.0
48,rdr_proxy,0.5581666666666667,713568256,0.0,0.6666666666666666,0.0,5461.333333333333,1.6666666666666667,1.6666666666666667,110.0,110.0
51,systemwide,4.3,2145157120,0.0,0.0,0.0,0.0,3.0,3.0,198.0,198.0
51,rdr_proxy,0.7085,712597504,0.0,0.0,0.0,0.0,3.0,3.0,198.0,198.0
54,systemwide,12.4,2043232256,0.0,9.666666666666666,0.0,1363968.0,0.3333333333333333,0.3333333333333333,22.0,22.0
54,rdr_proxy,10.418266666666666,610406400,0.0,12.666666666666666,0.0,1338026.6666666667,0.3333333333333333,0.3333333333333333,22.0,22.0
57,systemwide,1.7999999999999998,2036097024,0.0,15.0,0.0,3324586.6666666665,0.6666666666666666,0.6666666666666666,44.0,44.0
57,rdr_proxy,0.7212333333333333,610078720,0.0,18.0,0.0,3324586.6666666665,0.6666666666666666,0.6666666666666666,44.0,44.0
60,systemwide,0.6,2030948352,0.0,1.0,0.0,31402.666666666668,1.0,1.0,58.0,58.0
60,rdr_proxy,0.5414,608661504,0.0,0.0,0.0,0.0,1.0,1.0,58.0,58.0
63,systemwide,16.599999999999998,2018643968,0.0,8.0,0.0,348160.0,0.3333333333333333,0.3333333333333333,22.0,22.0
63,rdr_proxy,14.654733333333333,597651456,0.0,7.666666666666667,0.0,345429.3333333333,0.3333333333333333,0.3333333333333333,22.0,22.0
66,systemwide,0.6,2015121408,0.0,0.6666666666666666,0.0,19114.666666666668,0.0,0.0,0.0,0.0
66,rdr_proxy,0.7029,597184512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,systemwide,2.3,2022297600,0.0,8.666666666666666,0.0,72362.66666666667,0.6666666666666666,0.6666666666666666,44.0,44.0
69,rdr_proxy,0.8119000000000001,594456576,0.0,8.0,0.0,58709.333333333336,0.6666666666666666,0.6666666666666666,44.0,44.0
72,systemwide,2.8,2022526976,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,176.0,176.0
72,rdr_proxy,0.6786333333333333,594444288,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,176.0,176.0
75,systemwide,1.7999999999999998,2022522880,0.0,1.0,0.0,4096.0,0.6666666666666666,0.6666666666666666,44.0,44.0
75,rdr_proxy,0.856,594923520,0.0,1.0,0.0,4096.0,0.6666666666666666,0.6666666666666666,44.0,44.0
78,systemwide,3.0999999999999996,2022744064,0.0,8.333333333333334,0.0,53248.0,1.0,1.0,161.33333333333334,79.0
78,rdr_proxy,1.1871666666666667,594919424,0.0,0.0,0.0,0.0,1.0,1.0,161.33333333333334,79.0
81,systemwide,3.3,2022735872,0.0,24.666666666666668,0.0,126976.0,1.0,0.3333333333333333,161.33333333333334,22.0
81,rdr_proxy,0.9470666666666667,592941056,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,161.33333333333334,22.0
84,systemwide,15.0,2012536832,0.0,4.0,0.0,39594.666666666664,1.3333333333333333,1.3333333333333333,80.0,76.0
84,rdr_proxy,14.696033333333332,581672960,0.0,4.0,0.0,39594.666666666664,1.3333333333333333,1.3333333333333333,80.0,76.0
87,systemwide,1.5999999999999999,2008342528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,rdr_proxy,0.8927666666666667,581283840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,systemwide,2.1999999999999997,2008563712,0.0,2.6666666666666665,0.0,31402.666666666668,0.3333333333333333,0.3333333333333333,22.0,18.0
90,rdr_proxy,0.8509666666666668,581578752,0.0,2.3333333333333335,0.0,12288.0,0.3333333333333333,0.3333333333333333,22.0,18.0
93,systemwide,1.2,2007400448,0.0,4.666666666666667,0.0,76458.66666666667,5.333333333333333,6.0,2927.6666666666665,2563.0
93,rdr_proxy,1.3155666666666666,578691072,0.0,3.6666666666666665,0.0,49152.0,5.333333333333333,6.0,2927.6666666666665,2563.0
96,systemwide,2.1999999999999997,2007494656,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,220.0,216.0
96,rdr_proxy,0.6023666666666666,578465792,0.0,0.0,0.0,0.0,3.3333333333333335,3.3333333333333335,220.0,216.0
99,systemwide,1.5,2007715840,0.0,10.0,0.0,80554.66666666667,0.0,0.0,0.0,0.0
99,rdr_proxy,0.9027333333333334,579072000,0.0,9.333333333333334,0.0,65536.0,0.0,0.0,0.0,0.0
102,systemwide,0.8999999999999999,2007945216,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,44.0,44.0
102,rdr_proxy,0.8663666666666666,578379776,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,44.0,44.0
105,systemwide,1.9,2007945216,0.0,0.6666666666666666,0.0,12288.0,1.0,1.0,58.0,58.0
105,rdr_proxy,0.9011999999999999,578867200,0.0,0.0,0.0,0.0,1.0,1.0,58.0,58.0
108,systemwide,1.6,2007805952,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,18.0
108,rdr_proxy,0.6527999999999999,578580480,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.0,18.0
111,systemwide,4.9,2018017280,0.0,4.666666666666667,0.0,28672.0,0.0,0.0,0.0,0.0
111,rdr_proxy,0.8648666666666666,578142208,0.0,4.0,0.0,20480.0,0.0,0.0,0.0,0.0
114,systemwide,2.5,2008928256,0.0,10.333333333333334,0.0,45056.0,1.0,1.0,58.0,58.0
114,rdr_proxy,1.2869,574582784,0.0,2.3333333333333335,0.0,9557.333333333334,1.0,1.0,58.0,58.0
117,systemwide,2.1999999999999997,2009153536,0.0,1.3333333333333333,0.0,23210.666666666668,2.6666666666666665,2.6666666666666665,176.0,176.0
117,rdr_proxy,0.8550333333333334,574312448,0.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,176.0,176.0
120,systemwide,2.1,2009153536,0.0,0.6666666666666666,0.0,8192.0,0.6666666666666666,0.6666666666666666,44.0,40.0
120,rdr_proxy,0.6504,574435328,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,44.0,40.0
123,systemwide,1.7999999999999998,2006646784,0.0,0.3333333333333333,0.0,4096.0,0.0,0.0,0.0,0.0
123,rdr_proxy,0.8645,574808064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
