scheduler,time,handshakes_completed
weighted,5.0011,3180
weighted,10.0014,3225
weighted,15.0014,3222
weighted,20.0006,3196
weighted,25.0013,3214
weighted,30.0004,3216
weighted,35.0007,3230
weighted,40.0006,3243
weighted,45.0016,3381
weighted,50.0005,3314
weighted,55.0002,3383
weighted,60.0004,3215
weighted,65.0016,2334
weighted,70.0008,2679
weighted,75.0001,2946
weighted,80.0002,3267
weighted,85.0007,3243
weighted,90.0012,3256
weighted,95.0005,3277
weighted,100.0005,3209
weighted,105.0011,3246
weighted,110.0014,3219
weighted,115.0010,3101
weighted,120.0009,3267
weighted,125.0001,3251
weighted,130.0011,3246
weighted,135.0001,3291
weighted,140.0002,3270
weighted,145.0010,3228
weighted,150.0008,3240
weighted,155.0007,3198
weighted,160.0010,3178
weighted,165.0006,3172
weighted,170.0006,3160
weighted,175.0001,3199
weighted,180.0016,3184
weighted,185.0017,3098
weighted,190.0011,3031
weighted,195.0023,3105
weighted,200.0005,3041
weighted,205.0010,3014
weighted,210.0007,3028
weighted,215.0007,3068
weighted,220.0004,3084
weighted,225.0010,3102
weighted,230.0004,3056
weighted,235.0010,3005
weighted,240.0002,3000
weighted,245.0005,3105
weighted,250.0006,2876
weighted,255.0007,2819
weighted,260.0012,3070
weighted,265.0014,2913
weighted,270.0004,2909
weighted,275.0004,2827
weighted,280.0010,2883
weighted,285.0010,3161
weighted,290.0003,3143
weighted,295.0011,3144
weighted,300.0002,3042
weighted,305.0007,2854
weighted,310.0012,3125
weighted,315.0009,3091
weighted,320.0006,2860
weighted,325.0005,3121
weighted,330.0002,3139
weighted,335.0007,2977
weighted,340.0005,2853
weighted,345.0004,2756
weighted,350.0013,3206
weighted,355.0004,3208
weighted,360.0012,3113
weighted,365.0016,3157
weighted,370.0013,3162
weighted,375.0011,3012
weighted,380.0003,3027
weighted,385.0008,3084
weighted,390.0007,3062
weighted,395.0015,3124
weighted,400.0019,3091
weighted,405.0001,3081
weighted,410.0010,2769
weighted,415.0013,3090
weighted,420.0005,3044
weighted,425.0012,3063
weighted,430.0015,3062
weighted,435.0006,3023
weighted,440.0004,3048
weighted,445.0015,3091
weighted,450.0005,3099
weighted,455.0011,3066
weighted,460.0016,3020
weighted,465.0011,3055
weighted,470.0011,3078
weighted,475.0022,3044
weighted,480.0005,2803
weighted,485.0009,2674
weighted,490.0017,2841
weighted,495.0023,2832
weighted,500.0013,2949
weighted,505.0015,2810
weighted,510.0010,3062
weighted,515.0006,3016
weighted,520.0011,3062
weighted,525.0006,3047
weighted,530.0002,3061
weighted,535.0008,3081
weighted,540.0003,3037
weighted,545.0003,3023
weighted,550.0037,2954
weighted,555.0012,2782
weighted,560.0005,2843
weighted,565.0005,2755
