type,segment,transcode_rate
alone-native,1,0.23420
alone-native,2,0.07966
alone-native,3,0.09955
alone-native,4,0.08845
alone-native,5,0.06611
alone-native,6,0.11111
alone-native,7,0.07549
alone-native,8,0.07498
alone-cgroup-sched,1,0.23991
alone-cgroup-sched,2,0.08291
alone-cgroup-sched,3,0.10404
alone-cgroup-sched,4,0.09390
alone-cgroup-sched,5,0.06896
alone-cgroup-sched,6,0.11867
alone-cgroup-sched,7,0.07925
alone-cgroup-sched,8,0.07916
spin-native,1,0.19029
spin-native,2,0.06709
spin-native,3,0.08189
spin-native,4,0.07501
spin-native,5,0.05630
spin-native,6,0.09229
spin-native,7,0.06433
spin-native,8,0.06399
spin-cgroup-sched,1,0.24139
spin-cgroup-sched,2,0.08299
spin-cgroup-sched,3,0.10486
spin-cgroup-sched,4,0.09444
spin-cgroup-sched,5,0.06949
spin-cgroup-sched,6,0.11970
spin-cgroup-sched,7,0.07965
spin-cgroup-sched,8,0.07922
l2-native,1,0.14771
l2-native,2,0.05463
l2-native,3,0.06632
l2-native,4,0.06074
l2-native,5,0.04665
l2-native,6,0.07363
l2-native,7,0.05138
l2-native,8,0.05276
l2-cgroup-sched,1,0.21678
l2-cgroup-sched,2,0.07405
l2-cgroup-sched,3,0.09248
l2-cgroup-sched,4,0.08462
l2-cgroup-sched,5,0.06264
l2-cgroup-sched,6,0.10609
l2-cgroup-sched,7,0.07042
l2-cgroup-sched,8,0.07037
