type,segment,transcode_rate
alone,1,0.2377
alone,2,0.0940
alone,3,0.1182
alone,4,0.1073
alone,5,0.0792
alone,6,0.1326
alone,7,0.0903
alone,8,0.0904
alone,9,0.0756
alone,10,0.0936
spin,1,0.1776
spin,2,0.0734
spin,3,0.0888
spin,4,0.0817
spin,5,0.0630
spin,6,0.0991
spin,7,0.0701
spin,8,0.0710
spin,9,0.0609
spin,10,0.0727
l2,1,0.1452
l2,2,0.0617
l2,3,0.0724
l2,4,0.0679
l2,5,0.0526
l2,6,0.0804
l2,7,0.0581
l2,8,0.0593
l2,9,0.0507
l2,10,0.0609
llc,1,0.1424
llc,2,0.0604
llc,3,0.0698
llc,4,0.0658
llc,5,0.0521
llc,6,0.0783
llc,7,0.0568
llc,8,0.0570
llc,9,0.0503
llc,10,0.0592
mem_bw,1,0.1283
mem_bw,2,0.0580
mem_bw,3,0.0681
mem_bw,4,0.0626
mem_bw,5,0.0495
mem_bw,6,0.0722
mem_bw,7,0.0536
mem_bw,8,0.0542
mem_bw,9,0.0473
mem_bw,10,0.0560
