scheduler,time,transcode_duration
cgroup_sched,9.2158,9.2158
cgroup_sched,18.3548,9.1389
cgroup_sched,27.7177,9.3628
cgroup_sched,36.5934,8.8756
cgroup_sched,44.8319,8.2384
cgroup_sched,53.4790,8.6470
cgroup_sched,62.3390,8.8600
cgroup_sched,71.2426,8.9035
cgroup_sched,80.0209,8.7782
cgroup_sched,89.3665,9.3456
cgroup_sched,98.1572,8.7906
cgroup_sched,106.9862,8.8289
cgroup_sched,115.7903,8.8041
cgroup_sched,125.0062,9.2158
cgroup_sched,133.9204,8.9142
cgroup_sched,143.0960,9.1755
cgroup_sched,151.4178,8.3217
cgroup_sched,160.2792,8.8614
cgroup_sched,169.3227,9.0434
cgroup_sched,178.5791,9.2564
cgroup_sched,187.3693,8.7901
cgroup_sched,196.1294,8.7600
cgroup_sched,204.9010,8.7715
cgroup_sched,214.0013,9.1003
cgroup_sched,223.5946,9.5933
cgroup_sched,232.9910,9.3963
cgroup_sched,242.5168,9.5257
cgroup_sched,252.0142,9.4973
cgroup_sched,261.6999,9.6856
cgroup_sched,271.7265,10.0266
cgroup_sched,281.6742,9.9476
cgroup_sched,291.6129,9.9386
cgroup_sched,301.4937,9.8807
cgroup_sched,311.2929,9.7991
cgroup_sched,321.3966,10.1036
cgroup_sched,331.3259,9.9292
cgroup_sched,341.1395,9.8135
cgroup_sched,350.2955,9.1559
cgroup_sched,359.0185,8.7230
cgroup_sched,368.4211,9.4026
cgroup_sched,377.4320,9.0108
cgroup_sched,386.8964,9.4643
cgroup_sched,397.0777,10.1812
cgroup_sched,407.3472,10.2694
cgroup_sched,417.5885,10.2412
cgroup_sched,427.7919,10.2033
cgroup_sched,438.0848,10.2929
cgroup_sched,448.3500,10.2651
cgroup_sched,458.5416,10.1916
cgroup_sched,468.8964,10.3548
cgroup_sched,479.1963,10.2998
cgroup_sched,489.5662,10.3698
cgroup_sched,498.7920,9.2257
cgroup_sched,508.4153,9.6233
cgroup_sched,518.2912,9.8758
cgroup_sched,528.1466,9.8553
cgroup_sched,537.9188,9.7722
cgroup_sched,547.7732,9.8544
cgroup_sched,557.9944,10.2211
cgroup_sched,568.4257,10.4312
cgroup_sched,578.9276,10.5018
cgroup_sched,589.3743,10.4466
cgroup_sched,599.7959,10.4216
cgroup_sched,610.1899,10.3940
cgroup_sched,620.5823,10.3924
cgroup_sched,631.1479,10.5656
cgroup_sched,641.5433,10.3953
cgroup_sched,651.9219,10.3786
cgroup_sched,662.4572,10.5353
cgroup_sched,672.5960,10.1388
cgroup_sched,682.9405,10.3444
cgroup_sched,693.2467,10.3062
cgroup_sched,703.7069,10.4602
cgroup_sched,714.2005,10.4936
cgroup_sched,724.5516,10.3510
cgroup_sched,735.5748,11.0232
cgroup_sched,746.7364,11.1616
cgroup_sched,757.8122,11.0757
cgroup_sched,768.7595,10.9473
cgroup_sched,779.3720,10.6124
cgroup_sched,790.1428,10.7708
cgroup_sched,801.3185,11.1757
cgroup_sched,812.3898,11.0713
cgroup_sched,823.3731,10.9832
cgroup_sched,834.5181,11.1450
cgroup_sched,845.6210,11.1029
cgroup_sched,856.7065,11.0855
cgroup_sched,867.7418,11.0353
cgroup_sched,877.4197,9.6778
cgroup_sched,886.9023,9.4826
cgroup_sched,896.3753,9.4730
cgroup_sched,905.7264,9.3511
cgroup_sched,915.0239,9.2974
cgroup_sched,924.4085,9.3846
cgroup_sched,933.8178,9.4093
cgroup_sched,943.2136,9.3958
cgroup_sched,952.5906,9.3770
cgroup_sched,961.9491,9.3584
cgroup_sched,971.3116,9.3624
cgroup_sched,980.6703,9.3587
cgroup_sched,990.1300,9.4596
cgroup_sched,999.4349,9.3049
cgroup_sched,1008.8141,9.3792
cgroup_sched,1018.1491,9.3349
cgroup_sched,1027.6234,9.4743
cgroup_sched,1037.0758,9.4523
cgroup_sched,1046.5060,9.4302
cgroup_sched,1056.0218,9.5158
cgroup_sched,1065.4972,9.4753
cgroup_sched,1074.8912,9.3939
cgroup_sched,1084.3428,9.4516
cgroup_sched,1093.7689,9.4260
cgroup_sched,1103.1826,9.4137
cgroup_sched,1112.5938,9.4112
cgroup_sched,1121.9320,9.3381
cgroup_sched,1131.5345,9.6024
cgroup_sched,1141.8198,10.2853
cgroup_sched,1151.2606,9.4408
cgroup_sched,1160.8801,9.6194
cgroup_sched,1171.1505,10.2704
cgroup_sched,1180.5291,9.3786
cgroup_sched,1189.9340,9.4049
cgroup_sched,1199.4609,9.5269
cgroup_sched,1208.9982,9.5373
cgroup_sched,1219.1328,10.1346
cgroup_sched,1228.6300,9.4971
cgroup_sched,1237.9809,9.3508
cgroup_sched,1248.0496,10.0687
cgroup_sched,1257.4173,9.3677
cgroup_sched,1266.5112,9.0938
weighted,8.9602,8.9602
weighted,17.9127,8.9525
weighted,27.0309,9.1177
weighted,35.8595,8.8285
weighted,44.9321,9.0727
weighted,54.0310,9.0988
weighted,62.7669,8.7359
weighted,71.4530,8.6861
weighted,80.4453,8.9922
weighted,89.4368,8.9914
weighted,98.4940,9.0572
weighted,107.3983,8.9043
weighted,116.3849,8.9866
weighted,125.3965,9.0115
weighted,134.3592,8.9626
weighted,143.3827,9.0235
weighted,152.3432,8.9605
weighted,161.1169,8.7736
weighted,170.0694,8.9524
weighted,179.0484,8.9790
weighted,188.8365,9.7881
weighted,198.7055,9.8690
weighted,208.3778,9.6722
weighted,217.5334,9.1555
weighted,227.4195,9.8861
weighted,237.1592,9.7397
weighted,246.6297,9.4704
weighted,256.4329,9.8032
weighted,266.1049,9.6719
weighted,275.7731,9.6682
weighted,285.2817,9.5086
weighted,294.5876,9.3059
weighted,303.9708,9.3831
weighted,313.5529,9.5821
weighted,322.9236,9.3706
weighted,332.2559,9.3322
weighted,341.6654,9.4095
weighted,351.1382,9.4727
weighted,360.5490,9.4107
weighted,371.4972,10.9482
weighted,382.3082,10.8109
weighted,392.9365,10.6283
weighted,403.2175,10.2809
weighted,413.5199,10.3024
weighted,423.9097,10.3897
weighted,433.7152,9.8055
weighted,443.7227,10.0075
weighted,453.6581,9.9354
weighted,463.6176,9.9594
weighted,473.6220,10.0044
weighted,482.9202,9.2981
weighted,492.2546,9.3344
weighted,502.0333,9.7787
weighted,511.9989,9.9656
weighted,522.2952,10.2962
weighted,532.5477,10.2525
weighted,542.9703,10.4225
weighted,556.0131,13.0427
weighted,568.2463,12.2331
weighted,580.5291,12.2828
weighted,592.4146,11.8855
weighted,604.1970,11.7823
weighted,615.6842,11.4872
weighted,627.3071,11.6228
weighted,638.7183,11.4111
weighted,650.1327,11.4144
weighted,661.6916,11.5588
weighted,673.1245,11.4329
weighted,684.7519,11.6273
weighted,696.1590,11.4071
weighted,707.8235,11.6644
weighted,719.3235,11.4999
weighted,733.1536,13.8301
weighted,747.6687,14.5150
weighted,762.1546,14.4859
weighted,776.9730,14.8184
weighted,791.6825,14.7095
weighted,806.6398,14.9572
weighted,821.2843,14.6444
weighted,836.0405,14.7561
weighted,850.5839,14.5434
weighted,865.1705,14.5865
weighted,879.7979,14.6274
weighted,894.3522,14.5542
weighted,908.2760,13.9238
weighted,919.0291,10.7531
